City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
95,Horta,PT,2021-03-28 01:36:50,38.5333,-28.6333,59.41,83,100,10.4,overcast clouds
96,Sakakah,SA,2021-03-28 01:41:16,29.9697,40.2064,51.8,30,0,8.05,clear sky
97,Anloga,GH,2021-03-28 01:41:16,5.7947,0.8973,82.4,83,20,6.91,few clouds
98,Tromso,NO,2021-03-28 01:41:17,69.6496,18.957,35.6,93,75,11.5,light intensity drizzle
99,Bredasdorp,ZA,2021-03-28 01:38:23,-34.5322,20.0403,48.2,87,63,5.75,broken clouds
100,Kirensk,RU,2021-03-28 01:41:17,57.7853,108.1119,25.65,90,100,5.5,overcast clouds
101,Sturgis,US,2021-03-28 01:41:18,41.7992,-85.4192,55.4,94,90,13.8,heavy intensity rain
102,Chokurdakh,RU,2021-03-28 01:41:18,70.6333,147.9167,4.26,84,100,6.8,overcast clouds
103,Asfi,MA,2021-03-28 01:41:18,32.2994,-9.2372,62.69,66,100,7.56,overcast clouds
104,Punta Arenas,CL,2021-03-28 01:38:36,-53.15,-70.9167,48.2,71,0,50.64,light rain
105,Codrington,AU,2021-03-28 01:41:19,-38.2667,141.9667,66.31,55,8,11.83,clear sky
106,Huarmey,PE,2021-03-28 01:41:19,-10.0681,-78.1522,70.52,81,77,6.93,broken clouds
107,Puerto Carreno,CO,2021-03-28 01:41:20,6.189,-67.4859,80.76,65,45,8.39,scattered clouds
108,Katsuura,JP,2021-03-28 01:41:20,35.1333,140.3,66.99,78,100,5.99,light rain
109,Ostrovnoy,RU,2021-03-28 01:41:20,68.0531,39.5131,31.12,91,93,22.64,overcast clouds
110,Hilo,US,2021-03-28 01:39:47,19.7297,-155.09,78.8,61,90,14.97,light rain
111,Cidreira,BR,2021-03-28 01:41:21,-30.1811,-50.2056,72.39,86,100,5.97,overcast clouds
112,Port-Gentil,GA,2021-03-28 01:41:21,-0.7193,8.7815,81.07,78,59,7.72,broken clouds
113,Torbay,CA,2021-03-28 01:41:22,47.6666,-52.7314,28.0,86,75,29.93,snow
114,Sobolevo,RU,2021-03-28 01:41:22,54.4299,31.8996,34.12,95,95,8.03,overcast clouds
115,Uaua,BR,2021-03-28 01:41:22,-9.8414,-39.4817,71.01,78,8,11.54,clear sky
116,Amahai,ID,2021-03-28 01:41:23,-3.3333,128.9167,77.4,91,100,6.51,light rain
117,Dikson,RU,2021-03-28 01:38:30,73.5069,80.5464,-19.84,100,100,8.93,overcast clouds
118,Ribeira Grande,PT,2021-03-28 01:38:18,38.5167,-28.7,60.4,82,100,10.07,overcast clouds
119,Necochea,AR,2021-03-28 01:41:24,-38.5473,-58.7368,61.0,85,9,4.0,clear sky
120,Coihaique,CL,2021-03-28 01:41:24,-45.5752,-72.0662,50.76,98,100,6.24,overcast clouds
121,High Level,CA,2021-03-28 01:41:24,58.5169,-117.136,33.8,69,90,12.66,snow
122,Tura,IN,2021-03-28 01:41:25,25.5198,90.2201,85.37,10,0,1.77,clear sky
123,Kalaleh,IR,2021-03-28 01:41:25,37.3807,55.4916,48.27,98,100,15.41,overcast clouds
124,Bukama,CD,2021-03-28 01:41:25,-9.2,25.85,65.97,98,97,1.03,overcast clouds
125,Saldanha,ZA,2021-03-28 01:41:26,-33.0117,17.9442,51.8,82,10,3.44,clear sky
126,Okhotsk,RU,2021-03-28 01:41:26,59.3833,143.3,11.82,73,100,3.15,overcast clouds
127,Amapa,BR,2021-03-28 01:41:26,1.0,-52.0,70.66,99,100,2.59,overcast clouds
128,Upernavik,GL,2021-03-28 01:41:27,72.7868,-56.1549,-29.72,94,55,5.08,broken clouds
129,Payo,ID,2021-03-28 01:41:27,-3.7508,103.6372,77.16,89,100,2.24,overcast clouds
130,Flinders,AU,2021-03-28 01:41:27,-34.5833,150.8552,73.0,65,0,4.0,clear sky
131,East London,ZA,2021-03-28 01:41:28,-33.0153,27.9116,63.46,72,27,10.36,light rain
132,Kwinana,AU,2021-03-28 01:41:28,-32.25,115.7667,78.01,49,0,2.3,clear sky
133,Pierre,US,2021-03-28 01:41:28,44.3683,-100.351,44.01,60,40,10.36,scattered clouds
134,Buala,SB,2021-03-28 01:32:05,-8.145,159.5921,84.99,70,64,10.65,light rain
135,Sumenep,ID,2021-03-28 01:37:12,-7.0167,113.8667,84.31,70,25,2.89,scattered clouds
136,Dunyapur,PK,2021-03-28 01:41:29,29.7995,71.7196,73.4,78,0,4.79,smoke
137,Floro,NO,2021-03-28 01:41:29,61.5996,5.0328,41.0,75,75,17.27,broken clouds
138,Severo-Kurilsk,RU,2021-03-28 01:41:30,50.6789,156.125,28.45,79,92,34.65,overcast clouds
139,Pangnirtung,CA,2021-03-28 01:41:30,66.1451,-65.7125,-5.84,78,100,3.87,overcast clouds
140,Ocampo,MX,2021-03-28 01:41:30,21.65,-101.5,65.3,14,2,8.12,clear sky
141,Ancud,CL,2021-03-28 01:41:31,-41.8697,-73.8203,51.01,87,0,3.44,clear sky
142,Freeport,US,2021-03-28 01:40:09,40.6576,-73.5832,54.0,58,1,12.66,clear sky
143,Souillac,MU,2021-03-28 01:38:21,-20.5167,57.5167,73.4,94,40,6.91,scattered clouds
144,Beyneu,KZ,2021-03-28 01:41:32,45.3167,55.2,35.83,98,100,12.5,overcast clouds
145,Klaksvik,FO,2021-03-28 01:41:32,62.2266,-6.589,46.4,100,90,24.16,overcast clouds
146,Cayenne,GF,2021-03-28 01:41:32,4.9333,-52.3333,80.01,94,75,2.3,broken clouds
147,Port Elizabeth,ZA,2021-03-28 01:41:33,-33.918,25.5701,59.0,88,0,11.5,light rain
148,Siparia,TT,2021-03-28 01:41:33,10.1333,-61.5,75.0,94,100,1.01,overcast clouds
149,Arona,ES,2021-03-28 01:41:33,28.0996,-16.681,64.99,72,20,5.75,few clouds
150,Blackwater,AU,2021-03-28 01:41:34,-23.5833,148.8833,87.3,35,3,8.39,clear sky
151,Praia Da Vitoria,PT,2021-03-28 01:41:34,38.7333,-27.0667,60.01,94,75,5.77,broken clouds
152,Whyalla,AU,2021-03-28 01:41:34,-33.0333,137.5833,69.8,49,90,9.22,overcast clouds
153,Henties Bay,NA,2021-03-28 01:41:35,-22.116,14.2845,61.0,94,0,3.0,clear sky
154,Petropavlovsk-Kamchatskiy,RU,2021-03-28 01:38:19,53.0452,158.6483,33.8,44,98,24.61,overcast clouds
155,Airai,TL,2021-03-28 01:41:35,-8.9266,125.4092,72.0,64,100,2.98,overcast clouds
156,Esperance,AU,2021-03-28 01:41:36,-33.8667,121.9,71.6,60,1,9.22,clear sky
157,Hamilton,US,2021-03-28 01:40:48,39.1834,-84.5333,64.99,72,1,9.22,clear sky
