,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
548,Conde,BR,77.0,light rain,-7.2597,-34.9075,Pousada Beija Flor
556,Robertsport,LR,79.11,few clouds,6.7533,-11.3686,Kwepunha Retreat
558,Cockburn Town,TC,77.25,clear sky,21.4612,-71.1419,Osprey Beach Hotel
562,Atar,MR,75.61,clear sky,20.5169,-13.0499,Oumou Elghoura
563,Sijunjung,ID,80.53,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
567,Dongli,CN,75.2,mist,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
568,Cabedelo,BR,77.0,broken clouds,-6.9811,-34.8339,Hotel Pigalle
571,La Asuncion,VE,75.76,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
572,San Andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
574,Bontang,ID,80.04,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
578,Noumea,NC,89.6,few clouds,-22.2763,166.4572,Hôtel Le Lagon
582,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
586,Corralillo,CU,76.48,light rain,22.9819,-80.5856,Hostal De Pedri
588,Srikakulam,IN,81.73,clear sky,18.3,83.9,Sriram residency
591,Pontianak,ID,80.6,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
593,Benguela,AO,76.82,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
597,Mamallapuram,IN,78.8,mist,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
598,Alyangula,AU,87.76,light rain,-13.8483,136.4192,Groote Eylandt Lodge
604,Phenix City,US,77.0,clear sky,32.471,-85.0008,Columbus Marriott
612,Piacabucu,BR,76.82,broken clouds,-10.4056,-36.4344,Piaçabuçu News
614,Arecibo,PR,77.0,clear sky,18.4724,-66.7157,Atlantic Sand Oasis
616,Mandera,KE,79.25,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
620,Rabak,SD,77.09,clear sky,13.1809,32.74,فندق ربك Rabak Hotel
622,Maragogi,BR,75.79,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
628,Auki,SB,86.79,scattered clouds,-8.7676,160.7034,Auki Motel
631,Allada,BJ,82.4,scattered clouds,6.6655,2.1514,Royaume hotel d' Allada
633,Mormugao,IN,83.08,broken clouds,15.4,73.8,Coconut Creek Resort
635,Manokwari,ID,77.9,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
636,Ugoofaaru,MV,81.79,overcast clouds,5.6667,73.0,Ungoofaaru Inn
642,Savalou,BJ,78.98,overcast clouds,7.9281,1.9756,Hotel F&F
644,Jieshi,CN,77.0,clear sky,22.8134,115.8257,Yuehai Hotel
648,Luganville,VU,84.79,broken clouds,-15.5333,167.1667,The Espiritu Hotel
649,Isabela,PH,86.0,broken clouds,6.7085,121.9711,Isawad Resort
654,Kavaratti,IN,83.71,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
656,Tabou,CI,77.49,scattered clouds,4.423,-7.3528,hotêl doufoulougou
662,Kloulklubed,PW,84.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
669,Gondanglegi,ID,83.61,few clouds,-7.7479,112.0132,Gg. Munasir Homestay
672,Sechura,PE,75.04,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
676,Cienaga,CO,84.2,few clouds,11.007,-74.2476,The Journey Hostel
680,Soyo,AO,80.01,broken clouds,-6.1349,12.3689,Hotel Mpampa
686,Dicabisagan,PH,84.47,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
687,Veraval,IN,78.49,scattered clouds,20.9,70.3667,Lords Inn Somnath
688,Wanning,CN,81.01,broken clouds,18.8003,110.3967,Paradise Hotel
694,Kieta,PG,79.41,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
703,Gwadar,PK,76.3,clear sky,25.1216,62.3254,Sadaf Resort
710,Kirakira,SB,84.85,scattered clouds,-10.4544,161.9205,SanBiz Lodge
711,Santa Rosa,PH,89.01,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
