City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Upington,ZA,2021-03-26 23:18:25,-28.4478,21.2561,68.0,56,20,6.91
118,Mount Isa,AU,2021-03-26 23:18:26,-20.7333,139.5,86.0,25,0,10.36
119,Barrow,US,2021-03-26 23:15:55,71.2906,-156.7887,-9.4,70,1,3.44
120,Koslan,RU,2021-03-26 23:18:26,63.4564,48.8989,23.43,97,100,3.51
121,Jaumave,MX,2021-03-26 23:18:27,23.4167,-99.3833,93.2,17,90,9.22
122,Novyy Urgal,RU,2021-03-26 23:18:27,51.0736,132.5642,23.59,79,100,4.38
123,Canora,CA,2021-03-26 23:18:27,51.6333,-102.4343,28.4,64,1,5.75
124,Pangnirtung,CA,2021-03-26 23:18:28,66.1451,-65.7125,-11.2,64,20,20.71
125,Atuona,PF,2021-03-26 23:18:28,-9.8,-139.0333,80.85,75,20,20.07
126,Eucaliptus,BO,2021-03-26 23:18:29,-17.5833,-67.5167,51.87,65,98,9.48
127,Saiki,JP,2021-03-26 23:18:29,32.95,131.9,53.6,76,75,3.44
128,Torbay,CA,2021-03-26 23:18:29,47.6666,-52.7314,45.0,93,90,14.97
129,Saint-Philippe,RE,2021-03-26 23:18:30,-21.3585,55.7679,77.0,73,0,5.75
130,Kodiak,US,2021-03-26 23:18:30,57.79,-152.4072,37.4,48,90,8.05
131,Druzhnaya Gorka,RU,2021-03-26 23:18:31,59.2761,30.1425,28.4,93,40,2.3
132,Lima,PE,2021-03-26 23:18:31,-12.0432,-77.0282,70.0,78,0,13.8
133,Castro,BR,2021-03-26 23:18:31,-24.7911,-50.0119,68.49,85,63,4.21
134,Rio Claro,BR,2021-03-26 23:18:32,-22.4114,-47.5614,80.6,69,20,5.75
135,Saskylakh,RU,2021-03-26 23:18:32,71.9167,114.0833,1.9,97,99,3.13
136,Kaitangata,NZ,2021-03-26 23:18:32,-46.2817,169.8464,63.0,71,90,1.99
137,Sun City West,US,2021-03-26 23:16:40,33.662,-112.3413,66.0,34,20,8.05
138,Singapore,SG,2021-03-26 23:16:21,1.2897,103.8501,78.8,89,75,2.3
139,Cimahi,ID,2021-03-26 23:18:33,-6.8722,107.5425,68.65,91,98,2.59
140,Jaen,ES,2021-03-26 23:18:33,38.0,-3.5,49.69,60,41,2.15
141,Santa Cruz,BO,2021-03-26 23:15:04,-17.8,-63.1667,78.8,89,75,9.22
142,Aniva,RU,2021-03-26 23:18:34,46.7144,142.5294,26.6,59,12,2.24
143,Bentiu,SS,2021-03-26 23:18:34,9.2333,29.8333,87.96,42,100,6.55
144,Haines Junction,CA,2021-03-26 23:18:34,60.7522,-137.5108,35.6,55,100,3.44
145,Port Macquarie,AU,2021-03-26 23:18:35,-31.4333,152.9167,72.0,72,85,6.82
146,Zhigansk,RU,2021-03-26 23:18:35,66.7697,123.3711,11.93,93,100,21.59
147,Oytal,KZ,2021-03-26 23:18:35,42.9057,73.2697,54.34,74,99,2.42
148,Punta Arenas,CL,2021-03-26 23:18:36,-53.15,-70.9167,51.8,62,75,11.5
149,Georgetown,MY,2021-03-26 23:15:59,5.4112,100.3354,78.01,100,40,2.59
150,Port Lincoln,AU,2021-03-26 23:18:36,-34.7333,135.8667,63.43,65,30,9.37
151,Vardo,NO,2021-03-26 23:18:37,70.3705,31.1107,33.8,69,0,14.97
152,Saint-Augustin,CA,2021-03-26 23:18:37,51.226,-58.6502,21.31,78,100,18.21
153,Olafsvik,IS,2021-03-26 23:18:37,64.8945,-23.7142,19.13,63,96,13.98
154,Kumluca,TR,2021-03-26 23:18:38,36.3703,30.2869,47.17,47,1,7.14
